IDPlantaReparacion,CompanyNombre,Direccion,Direccion2,Ciudad,Estado,CodigoPostal,Pais,TelefonoAlmacen,FaxAlmacen,CorreoContacto,NombreContacto,TelefonoContacto,TituloTrabajo,AlmacenKeystone,IDPredio,LocalizadorCotizacion,FechaAgregado,IDEmpresa,ValidacionSeguro,Activo,CreadoPor,ActualizadoPor,UltimaFechaActualizacion
0000293508,Innipentor  ,557 South Second Blvd.,Suite 20,Stockton,Louisiana,32156,US,951094-4575,430121-5928,qaltfkky22@idic.gqzmkb.org,Jami Francis,395-5457405,Mr,,855,1855,2017-12-14 06:22:00.820000000,004,False,True,Kate,,
0000294348,Indimilantor Direct ,791 White Hague Boulevard,3rd Floor,Memphis,Hawaii,35360,US,330-769-0329,942-7204124,lblfa54@swotyqcba.lxucns.net,Randy Berg,299-989-0838,Mr,,140,140,2016-12-09 13:34:59.200000000,004,True,True,Glenda,,
0000297897,Qwibanazz International Group,96 Green Milton Road,Roosevelt Building,Nashville,Utah,90352,US,776-819-1937,2169785603,yukbyjrm.cbxkutyf@lkdisp.org,Darrell Weeks,6440770978,,,730,1730,2008-07-21 20:03:36.260000000,004,False,True,Darlene,Nelson,
0000299463,Lomwerar International ,973 West Green Old Way,Pre Sales Department,Colorado,Wisconsin,90223,US,729826-5561,509-8462242,yfkbvuc5@nhlqdz.tnyfxe.org,Shelley Knight,407-892-0273,Mr,121,540,3121,2001-12-21 13:39:47.510000000,001,True,True,Gabriela,Casey,2013-06-09 23:43:42.240000000
0000301793,Tipkilex Holdings ,35 Second Way,Post Sales Department,Riverside,South Carolina,15863,US,1531177505,449-606-1439,jkujwcdw@imgnkbvj.lkjapc.com,Carrie Solomon,9150289370,,,103,1103,2003-02-14 12:30:12.900000000,004,False,True,Tisha,,
0000306938,Thruhupedgower Holdings ,584 Rocky Fabien Way,Suite 4,Detroit,Florida,44153,US,633357-8942,8557899559,lyjjreo.krinnxrpa@kczr.iogwls.net,Olga Zuniga,757-5939044,Dr.,,700,700,2013-09-30 10:45:51.120000000,004,False,False,Diana,,
0000308064,Adweristor Direct ,35 West New Street,Sales Group,Glendale,Utah,47296,US,440746-4630,700-8665694,sdld94@bdqrus.com,Gabriel Shaw,476-5535831,Mr,,785,1785,2018-07-21 00:12:35.730000000,004,True,True,Megan,Joseph,
0000311927,Upwerpegan  ,101 West First Boulevard,Suite 9965,Tucson,Indiana,52955,US,282-972-3274,710849-4786,stabbd.dldzp@lbqtwnyjk.iinqfu.com,Jose Chaney,896-0614159,Miss.,,790,1790,2015-07-16 01:27:23.500000000,004,True,False,Melinda,Sheri,2010-05-28 04:30:39.230000000
0000313089,Qwierex International Company,570 Rocky Hague Blvd.,Suite 735,Greensboro,Maine,50578,US,207541-5407,7231567000,fhzwldk.iqcqibt@uhxmk.zsbsc-.org,Mandy Leon,798782-0786,Dr,044,502,3044,2003-11-26 13:15:48.660000000,001,True,False,Stacey,Tom,
0000315667,Varquesticantor Holdings Corp.,19 East Oak Blvd.,APT 4,Minneapolis,West Virginia,11000,US,980-260-5585,1313778175,ewpbmovr68@pqgurz.net,Louis Mullins,551-7330725,Mr,,390,1390,2003-10-10 19:03:06.080000000,004,True,False,Brent,Salvatore,2002-08-27 16:47:18.410000000
0000320082,Vardimupantor International Inc,660 East White Milton Road,After Sales Department,Cleveland,Oklahoma,22543,CA,6209397604,8186061545,psiyxwp73@wxbsoj.org,Latoya Hardy,855-0231929,Mrs,256,000,1256,2018-08-22 02:15:20.930000000,002,False,True,Gloria,,2016-09-02 05:12:35.140000000
0000321281,Injubower Holdings Inc,651 South Cowley Parkway,2nd Floor,El Paso,Oklahoma,18808,US,698440-8259,229259-8962,ptpsjbl@-hnota.com,Jonathon Clements,115-7961768,Ms,,790,1790,2004-12-27 10:51:08.530000000,004,True,True,Pamela,,2012-12-20 01:38:14.790000000
0000326327,Tipfropaquex WorldWide ,728 Nobel Road,APT 5,Montgomery,South Carolina,89731,US,289-382-3802,559887-9986,pgciioq24@i-vjmf.com,Krystal Camacho,226538-6021,Mr,,390,390,2015-07-17 05:42:19.720000000,004,False,True,Manuel,,2004-07-01 23:06:05.620000000
0000327707,Frosipilin International ,625 New Way,Truman Building,Honolulu,Louisiana,46320,US,9148329250,216658-8182,zdxxtzt.hhgjoulauw@kchcrbj.gzwqey.org,Rex Vargas,083-4589934,Mr,,790,1790,2000-12-03 01:18:53.030000000,004,False,True,Frederick,,
0000330329,Tipwerimower International ,140 East Fabien Freeway,6th Floor,Little Rock,Georgia,26755,US,500-611-6788,087-495-5343,volzd167@jibe.-uetld.net,Cesar Woodward,5006945564,Mr,,395,395,2001-02-19 06:43:57.120000000,004,False,False,Chandra,,2001-08-26 16:55:15.090000000
